001;1234567891234;Diego;5000.00
001;3245678865434;Renato;4000.00
001;1234567891234;Jose;5000.00
001;3245678865434;Renato;4000.00
002;2345675434544345;Jose da Silva;Rural
002;2345675434544000;Mose da Mouza;Ext
002;2345675434544111;Kose da Kouza;Rural
002;2345675434544222;Pose da Souza;Ext
002;2345675433444444;Eduardo Gonsalvez Pereira;Rural
002;2345675433444345;Gonsalvez;Rural
003;02;11010;200;2202.20;Pablo
003;08;13410;540;2401.10;Zavier
003;10;11010;300;3403.30;Diego
003;01;11010;100;1101.10;Jose
